id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
48154,https://www.airbnb.com/rooms/48154,20250923203019,2025-09-24,city scrape,Precioso apartamento con wifi,"Second floor on a farm from the late 19th century, very beautiful and completely renovated, preserving old elements such as wooden beams in the ceiling. It consists of two bedrooms, with an integrated kitchen and bathroom. Located on Calle Sagunto, a five-minute walk from the historic center (the Barrio del Carmen) and very well connected by buses and especially by the tram, which with a stop 100m from the portal, brings you closer to the beach in a journey of about 15 minutes, or to the airport","Very close neighborhood to the city's old town and with the tram 50m from the house, to get to the airport or the beach, very well connected and with several supermarkets nearby.",https://a0.muscache.com/pictures/1109085/9c0d4f47_original.jpg,219476,https://www.airbnb.com/users/show/219476,Antonio,2010-09-01,Spain,Un saludo a todos. Espero que os pongáis en contacto conmigo lo antes posible. Hasta entonces!,within a few hours,100%,96%,f,https://a0.muscache.com/im/users/219476/profile_pic/1313572689/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/219476/profile_pic/1313572689/original.jpg?aki_policy=profile_x_medium,La Saïdia,4,4,"['email', 'phone']",t,t,"Valencia, Spain",MORVEDRE,LA SAIDIA,39.48375,-0.37502,Entire rental unit,Entire home/apt,4,1.0,1 bath,2,2,"[""TV"", ""Host greets you"", ""Essentials"", ""Washer"", ""Hot water"", ""Dishes and silverware"", ""Wifi"", ""Heating"", ""Coffee maker"", ""Cooking basics"", ""Iron"", ""Kitchen"", ""Microwave"", ""Free street parking"", ""Hair dryer"", ""Pack \u2019n play/Travel crib"", ""Hangers"", ""Air conditioning"", ""Shampoo"", ""Bed linens"", ""Refrigerator""]",$83.00,3,25,2,4,10,25,3.0,23.5,,t,10,34,60,150,2025-09-24,197,26,1,69,30,156,12948,2010-10-12,2025-09-15,4.61,4.68,4.63,4.85,4.8,4.52,4.52,VT-41540-V,f,4,4,0,0,1.08
137143,https://www.airbnb.com/rooms/137143,20250923203019,2025-09-24,city scrape,PENTHOUSE  ON FRONT LINE BEACH,,,https://a0.muscache.com/pictures/hosting/Hosting-137143/original/bc6a8c3d-3d2b-4477-a4a3-64c1f271b536.jpeg,670775,https://www.airbnb.com/users/show/670775,Maria De La Piedad,2011-06-06,"Valencia, Spain",Hola a todos! Mi nombre es Piedad Villena y estoy deseando que os paséis por mi hospedaje. Seguro que no os arrepentiréis!,within a few hours,100%,100%,f,https://a0.muscache.com/im/pictures/user/267928fc-d9f7-41fb-8882-55fb11fcc8e9.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/267928fc-d9f7-41fb-8882-55fb11fcc8e9.jpg?aki_policy=profile_x_medium,Camins al Grau,5,5,"['email', 'phone']",t,t,,EL SALER,POBLATS DEL SUD,39.36335,-0.31932,Entire rental unit,Entire home/apt,7,1.5,1.5 baths,1,14,"[""TV"", ""Wifi"", ""Pool"", ""Elevator"", ""Washer"", ""Dryer"", ""Pets allowed"", ""Indoor fireplace"", ""Heating"", ""Smoking allowed"", ""Kitchen"", ""Free parking on premises""]",$390.00,10,170,10,10,170,170,10.0,170.0,,t,4,16,20,20,2025-09-24,1,0,0,20,0,0,0,2013-07-02,2013-07-02,0.0,5.0,5.0,5.0,5.0,4.0,4.0,VT32745V,f,5,5,0,0,0.01
149715,https://www.airbnb.com/rooms/149715,20250923203019,2025-09-24,city scrape,1900 Style Valencian Beach  Home for 10px,"Typical town house with 5 bedrooms and 4 bathrooms. two kitchens and a large terrace on the roof. It is located in the historic neighborhood of Cabañal, full of history and traditions. Surrounded by famous restaurants and one of the most important fresh markets in the city. It is located 5 minutes from the promenade and the Malvarrosa beach and the Marina of Valencia.<br /><br />TOURISM NUMBER VT36469<br />Check in on line","Surrounded by  historic houses,  authentic restaurants and tapa bars.  Oldest restaurant in Valencia Casa Montaña is just around the corner.   Buying the fresh food at one of the best Fresh Market in Spain (5min away).   Feeling what Valencia was in 1900.  Bike, sigtseening,  watersports, dancing and music events.",https://a0.muscache.com/pictures/808b4883-c57f-4c35-b9ce-95f942e95b6f.jpg,5947,https://www.airbnb.com/users/show/5947,Susana Barbara,2009-01-03,"Valencia, Spain","I’ve been traveling since I was 15.   I moved out of Cuba when I was 9, and lived in Venezuela, US and SPAIN.   Married in the US to a Spaniard, he has lived in Mexico, Italy and Switzerland.  We love to discover new cultures.   Grew up in Miami and have lived in Spain for over 40 yrs with great memories. My husband loves history and music.  His hobby is reading and writing,.  We are both retired teachers We speak English and Italian,.",within an hour,100%,98%,f,https://a0.muscache.com/im/pictures/user/User-5947/original/280a1226-1bdb-4a0d-8dca-449296a1ab34.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-5947/original/280a1226-1bdb-4a0d-8dca-449296a1ab34.jpeg?aki_policy=profile_x_medium,Poblados Marítimos,1,1,['phone'],t,t,"Valencia, Valencian Community, Spain",CABANYAL-CANYAMELAR,POBLATS MARITIMS,39.46746,-0.32813,Entire home,Entire home/apt,10,4.0,4 baths,5,7,"[""Hot water kettle"", ""Private patio or balcony"", ""Host greets you"", ""Essentials"", ""Oven"", ""Housekeeping - available at extra cost"", ""Stainless steel gas stove"", ""Coffee maker: drip coffee maker, espresso machine"", ""Bathtub"", ""Waterfront"", ""Paid street parking off premises"", ""Body soap"", ""AC - split type ductless system"", ""Freezer"", ""Hot water"", ""Dishes and silverware"", ""Baby bath"", ""Bidet"", ""Wifi"", ""Dishwasher"", ""Shared beach access"", ""Smoke alarm"", ""City skyline view"", ""Free dryer \u2013 In unit"", ""First aid kit"", ""Carbon monoxide alarm"", ""Luggage dropoff allowed"", ""Cooking basics"", ""Ceiling fan"", ""Board games"", ""High chair"", ""Outdoor shower"", ""Wine glasses"", ""Room-darkening shades"", ""Iron"", ""Coffee"", ""Fire extinguisher"", ""Kitchen"", ""Clothing storage"", ""Window guards"", ""Microwave"", ""Hair dryer"", ""Toaster"", ""Mini fridge"", ""Blender"", ""Extra pillows and blankets"", ""Outdoor furniture"", ""Free street parking"", ""Shower gel"", ""Private outdoor kitchen"", ""Hangers"", ""32 inch HDTV with Amazon Prime Video, Disney+, Netflix"", ""Central heating"", ""Private entrance"", ""Free washer \u2013 In unit"", ""Drying rack for clothing"", ""Books and reading material"", ""Dedicated workspace"", ""Outdoor dining area"", ""Shampoo"", ""Bed linens"", ""Refrigerator""]",$245.00,2,9,1,3,9,9,2.1,9.0,,t,9,27,49,287,2025-09-24,313,41,2,54,38,246,60270,2011-07-23,2025-09-15,4.67,4.72,4.58,4.85,4.89,4.63,4.62,ESFCTU000046025000580569000000000000000000VT-36469-V8,f,1,1,0,0,1.81
165971,https://www.airbnb.com/rooms/165971,20250923203019,2025-09-24,city scrape,★ Architectural touch! ★,"Hola! I am ready to welcome you in my apt., which was my first work as an architect. I designed it with special dedication & care, and hope you'll love it as much as I do. <br />Bright, spacious, centrally located, & fully equipped. Come and enjoy it! :)<br /><br />(!) 30€ cleaning fee to pay on arrival, 20€ if you're staying for just one night.","Just outside the old city centre (one block away from the Old Town), in a classic, traditional and safe enviroment. <br />Supermarket, pharmacy, atm, restaurants .. All you need is within walking distance.<br />Close to all amenities, the apartment is home to all of the central sights and most of the city’s attractions.",https://a0.muscache.com/pictures/10878830/ade68528_original.jpg,791187,https://www.airbnb.com/users/show/791187,Inés,2011-07-07,"Valencia, Spain","Architect, world traveler, and food enthusiast!  

I love Valencia and consider it a privilege to be able to host people in this amazing city.  I am on call 24/7 and do my best to help people have the best experience possible during their stay.

If you feel like my place fits your tastes and expectations, go ahead and drop me a line, I´ll be happy to get to know you ;)",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/User/original/fdf97f79-3c91-4415-a535-2fdabe101318.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User/original/fdf97f79-3c91-4415-a535-2fdabe101318.jpeg?aki_policy=profile_x_medium,Extramurs,9,20,"['email', 'phone']",t,t,"Valencia, Valencian Community, Spain",LA ROQUETA,EXTRAMURS,39.4679,-0.38206,Entire rental unit,Entire home/apt,4,1.0,1 bath,1,1,"[""TV"", ""Single level home"", ""Essentials"", ""Oven"", ""Washer"", ""Cleaning products"", ""Long term stays allowed"", ""Body soap"", ""Freezer"", ""Hot water"", ""Elevator"", ""Dishes and silverware"", ""Beach essentials"", ""Wifi"", ""Dishwasher"", ""Stove"", ""Heating"", ""Coffee maker"", ""Cooking basics"", ""Clothing storage: closet"", ""Hammock"", ""Room-darkening shades"", ""Lockbox"", ""Iron"", ""Kitchen"", ""Microwave"", ""Portable fans"", ""Self check-in"", ""Free street parking"", ""Hair dryer"", ""Mini fridge"", ""Extra pillows and blankets"", ""Conditioner"", ""Shower gel"", ""Hangers"", ""Air conditioning"", ""Pets allowed"", ""Paid parking off premises"", ""Shampoo"", ""Bed linens""]",$124.00,5,10,1,5,1125,1125,4.9,1125.0,,t,2,17,38,106,2025-09-24,576,46,1,47,53,255,31620,2011-07-23,2025-09-03,4.87,4.91,4.88,4.89,4.88,4.84,4.84,VT-32757-V,t,8,8,0,0,3.34
182221,https://www.airbnb.com/rooms/182221,20250923203019,2025-09-24,city scrape,Apartments Calatrava City Valencia,,,https://a0.muscache.com/pictures/1161513/9f7ac744_original.jpg,1315567,https://www.airbnb.com/users/show/1315567,Chiara,2011-10-20,"Valencia, Spain","Io amo Viaggiare, Amo la Spagna, l'Italia ed il Sud America. 
Veneziana di nascita , Valenciana d'adozione , vivo tra il Veneto e la Spagna !
Adoro la Spagna ma soprattutto  Valencia, il suo clima (300 giorni di sole all'anno! ) le piste ciclabili e le corse nel parco del Turia.
Amo passare il mio tempo libero alla palla della Malvarosa e me incanta la paella e la movida spagnola ! Ti aspetto per farti conoscere Valencia, las fallas e la fantastica cucina di questa bellissima città !",within an hour,100%,44%,f,https://a0.muscache.com/im/users/1315567/profile_pic/1319128253/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1315567/profile_pic/1319128253/original.jpg?aki_policy=profile_x_medium,,1,2,"['email', 'phone', 'work_email']",t,t,,AIORA,CAMINS AL GRAU,39.46343,-0.34325,Entire rental unit,Entire home/apt,5,1.0,1 bath,2,5,"[""Hot water kettle"", ""Bikes"", ""TV"", ""Essentials"", ""Washer"", ""Cleaning products"", ""Long term stays allowed"", ""Body soap"", ""Free parking on premises"", ""Hot water"", ""Dishes and silverware"", ""Paid parking on premises"", ""Wifi"", ""Dishwasher"", ""City skyline view"", ""Heating"", ""Carbon monoxide alarm"", ""First aid kit"", ""Cooking basics"", ""Coffee maker"", ""Luggage dropoff allowed"", ""Ceiling fan"", ""Board games"", ""High chair"", ""Wine glasses"", ""Room-darkening shades"", ""Smart lock"", ""Crib"", ""Babysitter recommendations"", ""Children\u2019s books and toys"", ""Iron"", ""Coffee"", ""Smoking allowed"", ""Self check-in"", ""Fire extinguisher"", ""Kitchen"", ""Clothing storage"", ""Portable fans"", ""Microwave"", ""Hair dryer"", ""Pack \u2019n play/Travel crib"", ""Toaster"", ""Free street parking"", ""Extra pillows and blankets"", ""Cleaning available during stay"", ""Conditioner"", ""Shower gel"", ""Laundromat nearby"", ""Hangers"", ""Air conditioning"", ""Dining table"", ""Pets allowed"", ""Drying rack for clothing"", ""Dedicated workspace"", ""Shampoo"", ""Bed linens"", ""Refrigerator"", ""Patio or balcony""]",$137.00,3,9,3,4,9,9,3.6,9.0,,t,30,60,86,176,2025-09-24,9,1,0,95,1,6,822,2015-08-04,2025-03-17,4.56,4.44,4.44,4.67,4.67,4.33,4.44,VT-38755-V,f,1,1,0,0,0.07
193326,https://www.airbnb.com/rooms/193326,20250923203019,2025-09-24,city scrape,Habitación balcón cerca de playa y universidades,"Sunny room with balcony, desk and WiFi for working. <br />It's not a tourist apartment, it's my home and I'll be happy to share it with you.<br />Faces east. <br />A 4-minute walk to the beach and 10 minutes to the university and language schools.<br />The apartment is located in Valencia's traditional fishing district, El Cabañal. Close to the local produce market and charming taverns. Just a 15-minute bus ride from the historic center and CAC.<br />Bus, tram/metro stops, Renfe Cabanyal station.",,https://a0.muscache.com/pictures/42849831-e837-4ae7-b849-8f5a4cf09bc3.jpg,937597,https://www.airbnb.com/users/show/937597,Noelia,2011-08-07,"Valencia, Spain","Afortunada de haber nacido y vivir en Valencia. Una ciudad encantadora, divertida, con una arquitectura apasionante, con una amplia oferta cultural y gastronómica, y con gente tan cálida como su clima.

Me apasionan los idiomas. Hablo Valenciano, Castellano, Inglés, Italiano, Alemán y también Portugués.

Me encanta compartir mi casa con personas de todo el mundo y hacerlos sentir como en casa. Es una experiencia muy enriquecedora.",within an hour,100%,94%,t,https://a0.muscache.com/im/pictures/user/User/original/4189efd8-f835-44ec-9f46-6cdbbf8b4c39.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User/original/4189efd8-f835-44ec-9f46-6cdbbf8b4c39.jpeg?aki_policy=profile_x_medium,Poblados Marítimos,2,7,"['email', 'phone']",t,t,,CABANYAL-CANYAMELAR,POBLATS MARITIMS,39.47299020968316,-0.3289203845922382,Private room in rental unit,Private room,2,1.0,1 shared bath,1,2,"[""Hot water kettle"", ""TV"", ""Private patio or balcony"", ""Host greets you"", ""Essentials"", ""Oven"", ""Lock on bedroom door"", ""Baking sheet"", ""Long term stays allowed"", ""Cleaning products"", ""Mosquito net"", ""Waterfront"", ""Body soap"", ""Freezer"", ""Hot water"", ""Dishes and silverware"", ""Beach essentials"", ""Bidet"", ""Wifi"", ""Stove"", ""Smoke alarm"", ""Heating"", ""Carbon monoxide alarm"", ""First aid kit"", ""Cooking basics"", ""Coffee maker"", ""Luggage dropoff allowed"", ""Paid washer \u2013 In building"", ""Beach access"", ""Wine glasses"", ""Room-darkening shades"", ""Lockbox"", ""Iron"", ""Coffee"", ""Self check-in"", ""Kitchen"", ""Microwave"", ""Clothing storage"", ""Portable fans"", ""Toaster"", ""Hair dryer"", ""Outdoor furniture"", ""Free street parking"", ""Blender"", ""Extra pillows and blankets"", ""Cleaning available during stay"", ""Shower gel"", ""Hangers"", ""Dining table"", ""Drying rack for clothing"", ""Books and reading material"", ""Dedicated workspace"", ""Shampoo"", ""Bed linens"", ""Refrigerator""]",$56.00,1,1125,1,7,1125,1125,1.3,1125.0,,t,19,44,71,161,2025-09-24,392,51,4,80,54,255,14280,2011-10-24,2025-09-07,4.87,4.9,4.92,4.9,4.95,4.78,4.79,ESHFNT00004602500038211800200000000000000000000000006,f,2,0,2,0,2.31
225070,https://www.airbnb.com/rooms/225070,20250923203019,2025-09-24,city scrape,Habitación cerca de la playa y universidades,"A bright room with a desk and WiFi to work. <br />It's not a tourist apartment, it's my home and I'll be happy to share it with you.<br />A 4-minute walk to the beach and 10 minutes to the Polytechnic University and language schools.<br />The apartment is located in Valencia's traditional fishing district, El Cabañal. Close to the local produce market and charming taverns. <br />Just 15 minutes by bus from the city's historic center and CAC. <br />Bus, tram/metro stops, Renfe Cabanyal.",,https://a0.muscache.com/pictures/airflow/Hosting-225070/original/49d03f30-ab1f-44ba-9993-d78702932488.jpg,937597,https://www.airbnb.com/users/show/937597,Noelia,2011-08-07,"Valencia, Spain","Afortunada de haber nacido y vivir en Valencia. Una ciudad encantadora, divertida, con una arquitectura apasionante, con una amplia oferta cultural y gastronómica, y con gente tan cálida como su clima.

Me apasionan los idiomas. Hablo Valenciano, Castellano, Inglés, Italiano, Alemán y también Portugués.

Me encanta compartir mi casa con personas de todo el mundo y hacerlos sentir como en casa. Es una experiencia muy enriquecedora.",within an hour,100%,94%,t,https://a0.muscache.com/im/pictures/user/User/original/4189efd8-f835-44ec-9f46-6cdbbf8b4c39.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User/original/4189efd8-f835-44ec-9f46-6cdbbf8b4c39.jpeg?aki_policy=profile_x_medium,Poblados Marítimos,2,7,"['email', 'phone']",t,t,,CABANYAL-CANYAMELAR,POBLATS MARITIMS,39.47149687619153,-0.33118405978463883,Private room in rental unit,Private room,1,1.0,1 shared bath,1,3,"[""Hot water kettle"", ""TV"", ""Host greets you"", ""Essentials"", ""Oven"", ""Lock on bedroom door"", ""Baking sheet"", ""Long term stays allowed"", ""Cleaning products"", ""Mosquito net"", ""Waterfront"", ""Body soap"", ""Freezer"", ""Hot water"", ""Dishes and silverware"", ""Beach essentials"", ""Bidet"", ""Wifi"", ""Stove"", ""Shared beach access"", ""Smoke alarm"", ""Heating"", ""Carbon monoxide alarm"", ""First aid kit"", ""Cooking basics"", ""Coffee maker"", ""Luggage dropoff allowed"", ""Paid washer \u2013 In building"", ""Wine glasses"", ""Room-darkening shades"", ""Lockbox"", ""Iron"", ""Coffee"", ""Kitchen"", ""Microwave"", ""Clothing storage"", ""Portable fans"", ""Toaster"", ""Hair dryer"", ""Free street parking"", ""Self check-in"", ""Blender"", ""Extra pillows and blankets"", ""Cleaning available during stay"", ""Shower gel"", ""Laundromat nearby"", ""Hangers"", ""Dining table"", ""Drying rack for clothing"", ""Books and reading material"", ""Dedicated workspace"", ""Shampoo"", ""Bed linens"", ""Refrigerator""]",$48.00,1,1125,1,7,1125,1125,1.3,1125.0,,t,14,43,70,160,2025-09-24,278,31,2,79,38,186,8928,2011-12-07,2025-09-02,4.85,4.88,4.93,4.91,4.95,4.77,4.8,ESHFNT00004602500038211800200000000000000000000000007,f,2,0,2,0,1.65
252608,https://www.airbnb.com/rooms/252608,20250923203019,2025-09-24,city scrape,Apartamento privilegiado en el corazón de Valencia,,"IT IS THE SAFEST AND MOST SELECT AREA OF THE HISTORIC CENTER<br />Between the Town Hall and Cathedral Squares (less than 250 meters from each) and less than 90 meters from Queen's Square.<br />The nerve center of Valencia's tourist and recreational life, a meeting place and promenade for Valencian society<br />IN THE HEART OF TOURIST LIFE, both for its accumulation of monuments, and for the recreational atmosphere, -day and night-, of the area, ice cream parlors, cafes, tapas bars, etc.<br />and perfectly connected by public transport (including the tourist bus) with all the sights of Valencia and its beaches",https://a0.muscache.com/pictures/3453638/6dfbb1a1_original.jpg,1326001,https://www.airbnb.com/users/show/1326001,Mariano,2011-10-23,"Valencia, Spain","Soy una persona amable, amistosa, tolerante y alegre, me tomo la vida con gran sentido del humor
Todos mis huéspedes me consideran un buen anfitrión y espero que tú también opines igual después de elegir nuestro alojamiento y disfrutar , desde él, tu estancia en Valencia..
Mi filosofía es: “VIVE Y DEJA VIVIR”, y “HAZ BIEN Y NO MIRES A QUIEN”, y me encanta la luz, la naturaleza y los amigos 
He viajado por AMÉRICA:-Canadá, USA, Brasil y Paraguay-, ASIA:-Tailandia y Turquía (Istambul)-, ÁFRICA:, -Egipto-, y por varios países EUROPEOS: -Alemania, Francia. Holanda, Inglaterra e Italia- 
De todos ellos guardo fantásticos recuerdos
Y AMO A MI PAÍS, ESPAÑA, (en especial a SEGOVIA, -ciudad que enamora por su belleza y gastronomía -en cuya provincia nací- y a VALENCIA,-donde disfruto viviendo-, única por su  luz, la alegría y hospitalidad de sus gentes y su gastronomía, que espero y deseo disfrutes tu también
",within a day,100%,N/A,f,https://a0.muscache.com/im/users/1326001/profile_pic/1319413129/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1326001/profile_pic/1319413129/original.jpg?aki_policy=profile_x_medium,,1,10,"['email', 'phone']",t,t,"Valencia, Spain",LA XEREA,CIUTAT VELLA,39.47396,-0.37405,Entire condo,Entire home/apt,2,1.0,1 bath,1,2,"[""Hot water kettle"", ""TV"", ""Host greets you"", ""Essentials"", ""Baking sheet"", ""Housekeeping - available at extra cost"", ""Washer"", ""Cleaning products"", ""Long term stays allowed"", ""Body soap"", ""Elevator"", ""Hot water"", ""Dishes and silverware"", ""Bidet"", ""Wifi"", ""First aid kit"", ""Cooking basics"", ""Coffee maker: Keurig coffee machine"", ""Wine glasses"", ""Iron"", ""Kitchen"", ""Microwave"", ""Portable fans"", ""Toaster"", ""Hair dryer"", ""Mini fridge"", ""Extra pillows and blankets"", ""Shower gel"", ""Hangers"", ""Air conditioning"", ""Dining table"", ""Drying rack for clothing"", ""Shared backyard"", ""Paid parking off premises"", ""Shampoo"", ""Bed linens"", ""Stainless steel oven""]",$80.00,31,1125,31,31,1125,1125,31.0,1125.0,,t,28,58,88,88,2025-09-24,4,0,0,88,0,0,0,2012-06-10,2021-08-27,4.5,4.5,4.5,4.5,4.5,4.75,4.75,,f,1,1,0,0,0.02
253764,https://www.airbnb.com/rooms/253764,20250923203019,2025-09-24,previous scrape,Sea view apartment with terrace at Cabanyal beach,"Completely renovated flat, on the third floor of an early 20th century Modernist villa.<br /><br />Opposite Las Arenas beach, in the Cabañal district of Valencia. It has a bus stop, tourist bus stop, tram and taxi rank at the street.<br /><br />Two spacious bedrooms with en-suite bathrooms, and a complete kitchen open to the living room and the furnished 20sqm terrace with sea views.","Right next to the house we found a good tapas restaurant (the other part) and an ice cream shop. A short walk away we find one  of the most avant-garde venues in the city, La Fábrica de Ice.  On the promenade you can find many restaurants and pubs, and in the Cabanyal neighborhood there are all kinds of shops, supermarkets, banks and old wineries such as ""Casa Montaña"" or "" La Pascuala "" as well as modern tapas establishments such as Anyora, Ca la Mar, Barcabanyal. Two hundred meters away, the Cabanyal Market offers us a wide variety of fresh products that we can cook in the apartment. <br />The Marina offers you all kinds of water sports",https://a0.muscache.com/pictures/2455142/5fe5cc43_original.jpg,1332880,https://www.airbnb.com/users/show/1332880,Jaime Jorge,2011-10-25,"Valencia, Spain","Somos una pareja de profesionales residentes en Valencia a quienes les gusta mucho la música, el teatro y los deportes náuticos.


",within an hour,100%,98%,t,https://a0.muscache.com/im/users/1332880/profile_pic/1380977491/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1332880/profile_pic/1380977491/original.jpg?aki_policy=profile_x_medium,,2,16,"['email', 'phone']",t,t,"Valencia, Spain",CABANYAL-CANYAMELAR,POBLATS MARITIMS,39.466515,-0.325345,Entire rental unit,Entire home/apt,5,,2 baths,2,,"[""Free washer \u2013 In building"", ""Private patio or balcony"", ""Essentials"", ""Shared beach access \u2013 Beachfront"", ""Cleaning products"", ""Waterfront"", ""AC - split type ductless system"", ""Harbor view"", ""Hot water"", ""55 inch HDTV with Chromecast"", ""Fast wifi \u2013 71 Mbps"", ""Dishes and silverware"", ""Freezer"", ""Elevator"", ""Private backyard \u2013 Fully fenced"", ""Dishwasher"", ""Beach view"", ""City skyline view"", ""Ocean view"", ""Sea view"", ""Heating"", ""Coffee maker"", ""Cooking basics"", ""Room-darkening shades"", ""Iron"", ""Paid parking garage off premises"", ""Kitchen"", ""Microwave"", ""Clothing storage"", ""Free street parking"", ""Hair dryer"", ""Outdoor furniture"", ""Extra pillows and blankets"", ""Garden view"", ""Laundromat nearby"", ""Hangers"", ""Private entrance"", ""Outdoor dining area"", ""Dedicated workspace"", ""Bed linens"", ""Refrigerator""]",,3,1125,3,5,4,1125,3.4,1115.8,,t,1,1,1,1,2025-09-24,76,12,1,1,20,72,,2012-03-21,2025-08-31,4.5,4.51,4.48,4.76,4.81,4.77,4.3,CV-VUT0033846-V,f,2,2,0,0,0.46
260929,https://www.airbnb.com/rooms/260929,20250923203019,2025-09-23,city scrape,Queen size bed & private bathroom by Miguel Inn,"Bedroom with very confortable queen size bed and private bathroom with great shower and towels heater. Enjoy the Valencian weather being walking distance to the city centre in the best location in Valencia. Walk along Turia Gardens to the major attractions such as the City of Arts. Good double glass window, heating and ceiling fan.","Our neighborhood is right on the edge of the city centre. A wealthy a peaceful area. If you come by car you must know our street is free parking zone. On the back of our home there is the Alameda Boulevard, full of nice restaurants such us Albereda. The Mestalla football stadium and the Blasco Ibañez Campus of Universitat the València are very close by.<br /><br /><br />Walking distances: <br />2 minutes to supermarket Mercadona <br />2 min. to Turia Gardens and Royal Gardens <br />5 min. to Mestalla Stadium<br />18 min. to Cathedral <br />21 min. to Barrio del Carmen (downtown)<br />30 min. to City of Arts and Sciences",https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MjYwOTI5/original/37ac748c-a4bd-4a1b-ab1f-3c25548a6ef9.jpeg,140702,https://www.airbnb.com/users/show/140702,Miguel,2010-06-08,"Valencia, Spain","Photographer and host since 2011. Winning the Golden Pineapple award took me to the Airbnb Open in Paris in 2015, where I had the pleasure of meeting founder Joe Gebbia.

As a professional photographer, I love capturing and sharing the beauty of my city and hometown. Guests at Miguel Inn often discover that a warm welcome goes beyond just words. Let’s connect, and I’ll ensure your stay is full of delightful surprises!",within an hour,100%,96%,t,https://a0.muscache.com/im/pictures/user/User/original/6516a6ee-1d4b-4049-bccd-afa9aede253b.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User/original/6516a6ee-1d4b-4049-bccd-afa9aede253b.jpeg?aki_policy=profile_x_medium,Pla del Real,3,5,"['email', 'phone', 'work_email']",t,t,"Valencia, Spain",EXPOSICIO,EL PLA DEL REAL,39.47507,-0.36296,Private room in rental unit,Private room,2,1.0,1 private bath,1,1,"[""Radiant heating"", ""Single level home"", ""Essentials"", ""Oven"", ""Lock on bedroom door"", ""Baking sheet"", ""Indesit  induction stove"", ""Long term stays allowed"", ""Cleaning products"", ""Mosquito net"", ""Freezer"", ""Hot water"", ""Elevator"", ""Dishes and silverware"", ""Shampoo"", ""Ethernet connection"", ""Wifi"", ""Dishwasher"", ""First aid kit"", ""Coffee maker"", ""Cooking basics"", ""Luggage dropoff allowed"", ""21 inch HDTV with DVD player"", ""Ceiling fan"", ""Clothing storage: closet"", ""Wine glasses"", ""Room-darkening shades"", ""Lockbox"", ""Iron"", ""Coffee"", ""Kitchen"", ""Microwave"", ""Toaster"", ""Self check-in"", ""Free street parking"", ""Hair dryer"", ""Blender"", ""Extra pillows and blankets"", ""Natural Honey body soap"", ""Shower gel"", ""Laundromat nearby"", ""Hangers"", ""Dining table"", ""Free washer \u2013 In unit"", ""Drying rack for clothing"", ""Books and reading material"", ""Dedicated workspace"", ""Paid parking off premises"", ""Exercise equipment: yoga mat"", ""Bed linens"", ""Refrigerator""]",$53.00,1,60,1,1,60,60,1.0,60.0,,t,5,18,45,45,2025-09-23,172,27,5,45,42,162,8586,2013-04-29,2025-09-09,4.74,4.84,4.63,4.88,4.87,4.85,4.7,,f,3,0,3,0,1.14
